Plasmid	Evidence	Property	Source	Genome Name	PATRIC ID	Source ID	Source Organism	Gene	Product	Function	Classification	PubMed	Subject Coverage	Query Coverage	Identity	E-value
pVA126-339	BLAT	Virulence Factor	PATRIC_VF	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.175	STM2660	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	clpB	Chaperone protein ClpB (ATP-dependent unfoldase)		Virulence	9573095	100	100	95	0.0
pVA126-339	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.111	K7PKN9	Enterobacterial phage mEp390		putative membrane protein	the putative 3 tms holin (3-hol) family.	1.E.56.1.3		62	98	82	4e-22
pVA126-339	BLAT	Virulence Factor	PATRIC_VF	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.350	S2726	Shigella flexneri 2a str. 2457T	guaB	Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205) / CBS domain		Cellular metabolism	8757833	100	100	98	1e-272
pVA126-339	BLAT	Virulence Factor	Victors	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.351	187731505	Shigella boydii CDC 3083-94	guaA	"GMP synthase [glutamine-hydrolyzing], amidotransferase subunit (EC 6.3.5.2) / GMP synthase [glutamine-hydrolyzing], ATP pyrophosphatase subunit (EC 6.3.5.2)"			8757833	100	100	96	1e-303
pVA126-339	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.281	P0A827	Shigella flexneri	glyA	Serine hydroxymethyltransferase (EC 2.1.2.1)	5-Formyl-6-Hydrofolic Acid;N-Pyridoxyl-Glycine-5-Monophosphate	Drug target		100	100	93	1e-233
pVA126-339	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.351	P04079	Escherichia coli (strain K12)	guaA	"GMP synthase [glutamine-hydrolyzing], amidotransferase subunit (EC 6.3.5.2) / GMP synthase [glutamine-hydrolyzing], ATP pyrophosphatase subunit (EC 6.3.5.2)"	Citric Acid	Drug target		100	100	96	1e-303
pVA126-339	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.57	P69783	Escherichia coli		"PTS system, glucose-specific IIA component (EC 2.7.1.199)"	the pts glucose-glucoside (glc) family.	4.A.1.1.1	15522088;15919996;1606145;1630305;16549791;16738553;1911770;1961703;2014267;2457575;2960675;3023349;8112346;8170944;8430315;8505292;8764513;8784182;8905232;9200688;9205837;9278503;9298646;9405042;9600841	100	100	98	1e-88
pVA126-339	BLAT	Drug Target	TTD	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.269	TTDR00331			Holo-[acyl-carrier-protein] synthase (EC 2.7.8.7)				100	100	87	6e-58
pVA126-339	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.18			AcrAD-TolC	"Aminoglycosides efflux system AcrAD-TolC, inner-membrane proton/drug antiporter AcrD (RND type)"	"Aminoglycosides efflux system AcrAD-TolC, inner-membrane proton/drug antiporter AcrD (RND type)"	efflux pump conferring antibiotic resistance	10692383				
pVA126-339	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.366	P0AGM7	Escherichia coli		Uracil permease @ Uracil:proton symporter UraA	the nucleobase/ascorbate transporter (nat) or nucleobase:cation symporter-2 (ncs2) family.	2.A.40.1.1	15919996;16738553;7721693;9205837;9278503	98	98	94	1e-226
pVA126-339	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.156	P64432	Escherichia coli (strain K12)		Inner membrane protein YpjD	the putative heme handling protein (hhp) family.	9.B.14.3.6		98	98	90	1e-135
pVA126-339	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.170	P0A9J8	Escherichia coli (strain K12)	pheA	Chorismate mutase I (EC 5.4.99.5) / Prephenate dehydratase (EC 4.2.1.51)	"8-HYDROXY-2-OXA-BICYCLO[3.3.1]NON-6-ENE-3,5-DICARBOXYLIC ACID"	Drug target		99	99	89	1e-198
pVA126-339	BLAT	Drug Target	TTD	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.58	TTDR00357			Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)				100	100	95	1e-314
pVA126-339	BLAT	Virulence Factor	Victors	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.148	108806576	Yersinia pestis Antiqua 	smpB	tmRNA-binding protein SmpB			20065026	97	100	82	2e-74
pVA126-339	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.58	P08839	Escherichia coli		Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	the phosphotransferase system enzyme i (ei) family.	8.A.7.1.1	10048929;16738553;17053069;2411636;2457575;2960675;3290198;7876255;8805571;9054557;9205837;9278503;9298646;9541412	100	100	95	1e-314
pVA126-339	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.62	P0A6J3	Escherichia coli		"Sulfate transporter, CysZ-type"	the sulfate transporter (cysz) family.	2.A.121.1.1	15919996;16738553;3062311;3290198;9008158;9205837;9278503	99	96	83	1e-132
pVA126-339	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.174	P33644	Escherichia coli (strain K12)	yfiH	FIG00003370: Multicopper polyphenol oxidase	Citric Acid	Drug target		100	100	81	1e-114
pVA126-339	BLAT	Virulence Factor	Victors	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.270	16765896	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	yfhL	Uncharacterized ferredoxin-like protein YfhL			16518469	98	98	96	2e-46
pVA126-339	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.51	P16676	Escherichia coli		Sulfate and thiosulfate import ATP-binding protein CysA (EC 3.6.3.25)	the atp-binding cassette (abc) superfamily.	3.A.1.6.1	15919996;16738553;2002055;2188958;2188959;3158524;7665461;8346018;8774726;9205837;9278503;9298646	97	98	95	1e-198
pVA126-339	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.185	Q8X444	Escherichia coli O157:H7	ung	"Uracil-DNA glycosylase, family 1 (EC 3.2.2.27)"	Uracil	Drug target		98	94	92	1e-123
pVA126-339	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.157	P0AGD7	Escherichia coli		Signal recognition particle protein Ffh	the general secretory pathway (sec) family.	3.A.5.1.1	10213615;10698927;10944122;12198149;12403785;12702815;12756233;1279430;12941690;12946344;1331806;15063851;15148364;15488768;15919996;1630901;1633829;16738553;17229438;17525736;17938627;2007553;2050112;2137819;2161989;2171778;2202723;2254269;2542029;2646297;2673920;2824434;2828030;2841285;3025556;6208370;6222285;6357787;7556084;7889938;8034620;8041620;8045257;8194520;8244950;8253067;8253068;8265357;8898086;9002525;9205837;9278503	100	100	96	1e-249
pVA126-339	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.59	P0AA04	Escherichia coli		"Phosphotransferase system, phosphocarrier protein HPr"	the phosphotransferase system hpr (hpr) family.	8.A.8.1.1	10048929;1483471;16738553;1751501;2261470;2411636;2457575;2960675;3290198;3542036;7853396;8158637;8226757;8784179;8868480;9205837;9278503;9298646;9868784	100	100	98	1e-39
pVA126-339	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.313	P60906	Escherichia coli (strain K12)	hisS	Histidyl-tRNA synthetase (EC 6.1.1.21)	Histidinol;Histidyl-Adenosine Monophosphate	Drug target		100	100	91	1e-230
pVA126-339	BLAT	Virulence Factor	PATRIC_VF	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.360	STM2501	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	ppk	Polyphosphate kinase (EC 2.7.4.1)		Virulence	17227702	100	100	92	0.0
pVA126-339	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.315	P77774	Escherichia coli. 		Outer membrane beta-barrel assembly protein BamB	the outer membrane protein insertion porin (bam complex) (ompip) family.	1.B.33.1.3	11179681;12384590;12704152;15851030;16079137;16738553;1885529;2045357;2120198;9205837;9278503	100	100	89	1e-208
pVA126-339	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.79	P0A6V8	Escherichia coli (strain K12)	glk	Glucokinase (EC 2.7.1.2)	Beta-D-Glucose	Drug target		99	99	90	1e-170
pVA126-339	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.268	P0A794	Escherichia coli (strain K12)	pdxJ	Pyridoxine 5'-phosphate synthase (EC 2.6.99.2)	Pyridoxine-5'-Phosphate;1-Deoxy-D-xylulose 5-phosphate;3-Phosphoglycerol	Drug target		100	100	94	1e-127
pVA126-339	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.189	P10902	Escherichia coli (strain K12)	nadB	L-aspartate oxidase (EC 1.4.3.16)	Flavin adenine dinucleotide	Drug target		98	98	89	1e-289
pVA126-339	BLAT	Virulence Factor	PATRIC_VF	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.270	SL1344_2538	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344		Uncharacterized ferredoxin-like protein YfhL		Virulence	16518469	98	98	96	2e-46
pVA126-339	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.164	P07021	Escherichia coli (strain K12)		Integral membrane protein YfiB	the ompa-ompf porin (oop) family.	1.B.6.1.21		90	90	80	2e-64
pVA126-339	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.49	P16701	Escherichia coli		Sulfate transport system permease protein CysT	the atp-binding cassette (abc) superfamily.	3.A.1.6.1	15919996;16738553;2002055;2188958;2188959;3158524;7665461;8346018;8774726;9205837;9278503;9298646	100	100	97	1e-150
pVA126-339	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.264	P00803	Escherichia coli (strain K12)	lepB	Signal peptidase I (EC 3.4.21.89)	"N-Methyl-N-(10-Methylundecanoyl)-D-Seryl-L-Alanyl-N~1~-[(7s,10s,13s)-13-Carboxy-3,18-Dihydroxy-10-Methyl-8,11-Dioxo-9,12-Diazatricyclo[13.3.1.1~2,6~]Icosa-1(19),2(20),3,5,15,17-Hexaen-7-Yl]-N~1~-Methylglycinamide;1-{2-[2-(2-Methoxyethoxy)Ethoxy]Ethoxy}-4-(1,1,3,3-Tetramethylbutyl)Benzene;(5S,6S)-6-[(R)ACETOXYETH-2-YL]-PENEM-3-CARBOXYLATEPROPANE"	Drug target		100	100	90	1e-175
pVA126-339	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.10	P0A903	Escherichia coli		Outer membrane beta-barrel assembly protein BamC	the outer membrane protein insertion porin (bam complex) (ompip) family.	1.B.33.1.3	11179681;12384590;12704152;15851030;16079137;16738553;1885529;2045357;2120198;9205837;9278503	100	100	84	1e-167
pVA126-339	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.67	P39836	Escherichia coli (strain K12)		Uncharacterized protein YfeH	the bile acid:na(+) symporter (bass) family.	2.A.28.3.4	16738553;7984428;9205837;9278503	95	95	91	1e-168
pVA126-339	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.361	P08179	Escherichia coli (strain K12)	purN	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)	"Glycinamide Ribonucleotide;(10S)-10-Formyl-5,8,10-Trideazafolic Acid;N-[5'-O-Phosphono-Ribofuranosyl]-2-[2-Hydroxy-2-[4-[Glutamic Acid]-N-Carbonylphenyl]-3-[2-Amino-4-Hydroxy-Quinazolin-6-Yl]-Propanylamino]-Acetamide;(10R)-10-Formyl-5,8,10-Trideazafolic Acid"	Drug target		99	99	83	4e-99
pVA126-339	BLAT	Virulence Factor	Victors	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.175	16765976	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	clpB	Chaperone protein ClpB (ATP-dependent unfoldase)			17526851	100	100	95	0.0
pVA126-339	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.172	P0AC02	Escherichia coli		Outer membrane beta-barrel assembly protein BamD	the outer membrane protein insertion porin (bam complex) (ompip) family.	1.B.33.1.3	11179681;12384590;12704152;15851030;16079137;16738553;1885529;2045357;2120198;9205837;9278503	100	100	92	1e-130
pVA126-339	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.155	P37908	Escherichia coli (strain K12)		Putative membrane protein YfjD	the hlyc/corc (hcc) family.	9.A.40.2.4		100	100	91	1e-223
pVA126-339	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.73	P0AFF2	Escherichia coli		Na+ dependent nucleoside transporter NupC	the concentrative nucleoside transporter (cnt) family.	2.A.41.1.1	15919996;16738553;8022285;9205837;9278503	100	100	94	1e-212
pVA126-339	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.35	P41796	Salmonella typhimurium		Ethanolamine permease	the ethanolamine facilitator (eaf) family.	9.A.28.1.1	10464203;11677609;7868611	96	96	94	1e-216
pVA126-339	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.160	P0A876	Shigella flexneri	trmD	tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228)	S-Adenosyl-L-Homocysteine	Drug target		100	100	98	1e-145
pVA126-339	BLAT	Drug Target	TTD	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.65	TTDR00898			DNA ligase (NAD(+)) (EC 6.5.1.2)				99	99	92	0.0
pVA126-339	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.74	P0A769	Escherichia coli		Manganese transport protein MntH	the metal ion (mn(2+)-iron) transporter (nramp) family.	2.A.55.3.1	10712688;10844693;14607838;15630547;15919996;16738553;9205837;9278503	99	99	87	1e-208
pVA126-339	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.280	P24232	Escherichia coli (strain K12)	hmp	Flavohemoglobin / Nitric oxide dioxygenase (EC 1.14.12.17)	Flavin adenine dinucleotide	Drug target		87	87	86	1e-176
pVA126-339	BLAT	Virulence Factor	PATRIC_VF	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.183	Z3867	Escherichia coli O157:H7 str. EDL933	trxC	Thioredoxin 2		Virulence	15528651	98	97	86	1e-69
pVA126-339	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.48	P16700	Escherichia coli		Sulfate and thiosulfate binding protein CysP	the atp-binding cassette (abc) superfamily.	3.A.1.6.1	15919996;16738553;2002055;2188958;2188959;3158524;7665461;8346018;8774726;9205837;9278503;9298646	99	99	94	1e-187
pVA126-339	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.6	P0AFI9	Escherichia coli		Putative permease PerM (= YfgO)	"the autoinducer-2 exporter (ai-2e) family (formerly the perm family, tc #9.b.22)."	2.A.86.1.1	16738553;9205837;9278503	98	98	93	1e-187
pVA126-339	BLAT	Drug Target	TTD	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.268	TTDR00655			Pyridoxine 5'-phosphate synthase (EC 2.6.99.2)				50	100	94	1e-127
pVA126-339	BLAT	Virulence Factor	Victors	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.360	16765821	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	ppk	Polyphosphate kinase (EC 2.7.4.1)			17526851	100	100	92	0.0
pVA126-339	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.228	K7PKN9	Enterobacterial phage mEp390		putative membrane protein	the putative 3 tms holin (3-hol) family.	1.E.56.1.3		62	98	82	4e-22
pVA126-339	BLAT	Drug Target	TTD	Klebsiella pneumoniae JAV2p1	fig|573.32862.peg.280	TTDR00747			Flavohemoglobin / Nitric oxide dioxygenase (EC 1.14.12.17)				87	87	86	1e-176
pVA126-175	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.44	Q47455	Escherichia coli		Copper resistance protein CopD	the copper resistance (copd) family.	9.B.62.1.1	8594334	100	100	99	1e-171
pVA126-175	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.105			QnrB10	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	antibiotic target protection protein	17938184				
pVA126-175	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.85			TEM family	Class A beta-lactamase (EC 3.5.2.6) => TEM family	Class A beta-lactamase (EC 3.5.2.6) => TEM family	antibiotic inactivation enzyme	11585791				
pVA126-175	BLAT	Virulence Factor	Victors	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.149	218534560	Escherichia coli S88 	traT	IncF plasmid conjugative transfer surface exclusion protein TraT			3323837	86	98	87	1e-114
pVA126-175	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.82			APH(3'')-I	Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I	Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I	antibiotic inactivation enzyme	2167474;2653965;16954315				
pVA126-175	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.85	P62593	Escherichia coli	bla	Class A beta-lactamase (EC 3.5.2.6) => TEM family	"Benzylpenicillin;1(R)-1-Acetamido-2-(3-Carboxyphenyl)Ethyl Boronic Acid;[[N-(Benzyloxycarbonyl)Amino]Methyl]Phosphate;[(2-Ethoxy-1-Naphthoyl)Amino]Methylboronic Acid;Pinacol[[2-Amino-Alpha-(1-Carboxy-1-Methylethoxyimino)-4-Thiazoleacetyl]Amino]Methaneboronate;N,N-Bis(4-Chlorobenzyl)-1h-1,2,3,4-Tetraazol-5-Amine;3-(4-Phenylamino-Phenylamino)-2-(1h-Tetrazol-5-Yl)-Acrylonitrile;1(R)-1-ACETAMIDO-2-(3-CARBOXY-2-HYDROXYPHENYL)ETHYL BORONIC ACID;(1R)-2-PHENYLACETAMIDO-2-(3-CARBOXYPHENYL)ETHYL BORONIC ACID;[(2-AMINO-ALPHA-METHOXYIMINO-4-THIAZOLYLACETYL)AMINO]METHYLBORONIC ACID;(1R)-1-(2-THIENYLACETYLAMINO)-1-(3-CARBOXYPHENYL)METHYLBORONIC ACID;Avibactam"	Drug target		100	100	100	1e-163
pVA126-175	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.91	AAL02127.1	Escherichia coli	CTX-M-15	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"		"antibiotic inactivation enzyme,beta-lactam resistance gene"		100	100	100	1e-161
pVA126-175	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.61	P08692	Escherichia coli	arsC	"Arsenate reductase (EC 1.20.4.1) glutaredoxin-coupled, glutaredoxin-like family"	Thiarsahydroxy-Cysteine;Thiarsa Dihydroxy Cysteine;S-Arsonocysteine;Trihydroxyarsenite(Iii)	Drug target		100	100	95	6e-72
pVA126-175	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.91	WP_000239590.1	Bacteria		"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	MULTISPECIES: class A extended-spectrum beta-lactamase CTX-M-15			100	100	100	1e-161
pVA126-175	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.81	AAL59753.1	Vibrio cholerae	sul2	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein				100	100	100	1e-148
pVA126-175	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.82	ABK33456.1	Pseudomonas aeruginosa	APH(3'')-Ib	Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I		"aminoglycoside resistance gene,antibiotic inactivation enzyme"		100	100	99	1e-156
pVA126-175	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.39	B7L5V2	Escherichia coli (strain 55989 / EAEC)		"Cell wall endopeptidase, family M23/M37"	the bacillus gap junction-like channel-forming complex (gj-cc) family.	1.A.34.1.3		99	99	99	1e-136
pVA126-175	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.42	Q47453	Escherichia coli		Copper resistance protein B	the copper resistance putative porin (copb) family.	1.B.76.1.5		100	100	100	1e-174
pVA126-175	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.81	WP_001043260.1	Bacteria		Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	MULTISPECIES: sulfonamide-resistant dihydropteroate synthase Sul2			100	100	100	1e-148
pVA126-175	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.91	Q9EXV5	Escherichia coli	blaUOE-1	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	Avibactam	Drug target		100	100	100	1e-161
pVA126-175	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.105	ABG56269.1	Citrobacter freundii	QnrB10	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10		"antibiotic target protection protein,fluoroquinolone resistance gene"		100	100	99	1e-130
pVA126-175	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.91			CTX-M family	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	antibiotic inactivation enzyme	17289764				
pVA126-175	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.85	CAD09800.1	Salmonella enterica subsp. enterica serovar Typhi str. CT18	TEM-1	Class A beta-lactamase (EC 3.5.2.6) => TEM family		"antibiotic inactivation enzyme,beta-lactam resistance gene"		100	100	100	1e-163
pVA126-175	BLAT	Virulence Factor	Victors	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.243	228931267	Salmonella enterica subsp. enterica serovar Typhimurium	sopA	Chromosome (plasmid) partitioning protein ParA			12065528	100	100	97	1e-225
pVA126-175	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.126	WP_021529707.1	Enterobacteriaceae		Dihydrofolate reductase (EC 1.5.1.3)	MULTISPECIES: trimethoprim-resistant dihydrofolate reductase DfrA14			100	100	99	3e-88
pVA126-175	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.62	P0AB93	Escherichia coli		Arsenite/antimonite:H+ antiporter ArsB	the arsenite-antimonite (arsab) efflux family.	3.A.4.1.1	1535622;15919996;16738553;1704144;3021763;7721697;8041620;9278503	100	100	93	1e-230
pVA126-175	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.37	Q9ZHC7	Salmonella typhimurium		"Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)"	the p-type atpase (p-atpase) superfamily.	3.A.3.5.4	9930866	88	89	96	0.0
pVA126-175	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.105	WP_012954666.1	Gammaproteobacteria		Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	MULTISPECIES: quinolone resistance pentapeptide repeat protein QnrB19			100	94	100	1e-124
pVA126-175	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.32	Q9ZHD2	Salmonella typhimurium		"Copper/silver efflux RND transporter, outer membrane protein CusC"	the outer membrane factor (omf) family.	1.B.17.3.4	9930866	100	89	99	1e-259
pVA126-175	BLAT	Virulence Factor	PATRIC_VF	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.149	EC042_pAA071	Escherichia coli 042	traT	IncF plasmid conjugative transfer surface exclusion protein TraT		Serum resistance	1730875	92	98	86	1e-112
pVA126-175	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.126	ACI32877.1	Escherichia coli	dfrA14	Dihydrofolate reductase (EC 1.5.1.3)		"antibiotic target replacement protein,trimethoprim resistance gene"		97	99	99	1e-87
pVA126-175	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.83	WP_000480968.1	Bacteria		Aminoglycoside 6-phosphotransferase (EC 2.7.1.72) => APH(6)-Ic/APH(6)-Id	MULTISPECIES: aminoglycoside O-phosphotransferase APH(6)-Id			100	100	100	1e-161
pVA126-175	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.83			APH(6)-Ic/APH(6)-Id	Aminoglycoside 6-phosphotransferase (EC 2.7.1.72) => APH(6)-Ic/APH(6)-Id	Aminoglycoside 6-phosphotransferase (EC 2.7.1.72) => APH(6)-Ic/APH(6)-Id	antibiotic inactivation enzyme	3889831;15722395				
pVA126-175	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.82	WP_001082319.1	Bacteria		Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I	MULTISPECIES: aminoglycoside O-phosphotransferase APH(3'')-Ib			100	100	100	1e-157
pVA126-175	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.85	WP_000027057.1	Bacteria		Class A beta-lactamase (EC 3.5.2.6) => TEM family	MULTISPECIES: class A broad-spectrum beta-lactamase TEM-1			100	100	100	1e-163
pVA126-175	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.83	AAC23556.1	Pseudomonas aeruginosa	APH(6)-Id	Aminoglycoside 6-phosphotransferase (EC 2.7.1.72) => APH(6)-Ic/APH(6)-Id		"aminoglycoside resistance gene,antibiotic inactivation enzyme"		100	100	99	1e-160
pVA126-175	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.126			"folA, Dfr"	Dihydrofolate reductase (EC 1.5.1.3)	Dihydrofolate reductase (EC 1.5.1.3)	antibiotic target in susceptible species	20169085;25288078				
pVA126-175	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p2	fig|573.32863.peg.35	Q9ZHC9	Salmonella typhimurium		"Copper/silver efflux RND transporter, transmembrane protein CusA"	the resistance-nodulation-cell division (rnd) superfamily.	2.A.6.1.3	9930866	100	100	98	0.0
