Plasmid	Genome ID	Accession	PATRIC ID	Feature ID	Annotation	Feature Type	Start	End	Length	Strand	PATRIC genus-specific families (PLfams)	PATRIC cross-genus families (PGfams)	AA Length	Product	GO
pVA04-58	573.32857	573.32857.con.0001	fig|573.32857.peg.86	PATRIC.573.32857.573.32857.con.0001.CDS.47756.48007.rev	PATRIC	CDS	47756	48007	252	-	PLF_570_00082522		83	hypothetical protein	
pVA04-58	573.32857	573.32857.con.0001	fig|573.32857.peg.87	PATRIC.573.32857.573.32857.con.0001.CDS.48139.49680.fwd	PATRIC	CDS	48139	49680	1542	+	PLF_570_00006694	PGF_08225224	513	hypothetical protein	
pVA04-58	573.32857	573.32857.con.0001	fig|573.32857.peg.6	PATRIC.573.32857.573.32857.con.0001.CDS.4827.5414.rev	PATRIC	CDS	4827	5414	588	-	PLF_570_00088613	PGF_09978608	195	Transposase	
pVA04-58	573.32857	573.32857.con.0001	fig|573.32857.peg.88	PATRIC.573.32857.573.32857.con.0001.CDS.49991.50134.rev	PATRIC	CDS	49991	50134	144	-	PLF_570_00017822	PGF_00171491	47	hypothetical protein	
pVA04-58	573.32857	573.32857.con.0001	fig|573.32857.peg.89	PATRIC.573.32857.573.32857.con.0001.CDS.50179.51054.fwd	PATRIC	CDS	50179	51054	876	+	PLF_570_00116478	PGF_01954837	291	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	GO:0008800|beta-lactamase activity
pVA04-58	573.32857	573.32857.con.0001	fig|573.32857.peg.90	PATRIC.573.32857.573.32857.con.0001.CDS.51496.52485.fwd	PATRIC	CDS	51496	52485	990	+	PLF_570_00014611	PGF_08182511	329	"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"	
pVA04-58	573.32857	573.32857.con.0001	fig|573.32857.peg.91	PATRIC.573.32857.573.32857.con.0001.CDS.52479.52874.fwd	PATRIC	CDS	52479	52874	396	+	PLF_570_00005065	PGF_00423408	131	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	GO:0004156|dihydropteroate synthase activity
pVA04-58	573.32857	573.32857.con.0001	fig|573.32857.peg.92	PATRIC.573.32857.573.32857.con.0001.CDS.52868.53590.fwd	PATRIC	CDS	52868	53590	723	+	PLF_570_00000004	PGF_01000105	240	Mobile element protein	
pVA04-58	573.32857	573.32857.con.0001	fig|573.32857.peg.93	PATRIC.573.32857.573.32857.con.0001.CDS.53596.55953.fwd	PATRIC	CDS	53596	55953	2358	+	PLF_570_00006025	PGF_02752571	785	Transposase	
pVA04-58	573.32857	573.32857.con.0001	fig|573.32857.peg.7	PATRIC.573.32857.573.32857.con.0001.CDS.5462.5746.rev	PATRIC	CDS	5462	5746	285	-	PLF_570_00031064	PGF_08225224	94	Mobile element protein	
pVA04-58	573.32857	573.32857.con.0001	fig|573.32857.peg.94	PATRIC.573.32857.573.32857.con.0001.CDS.56251.56469.fwd	PATRIC	CDS	56251	56469	219	+	PLF_570_00027760	PGF_10322252	72	hypothetical protein	
pVA04-58	573.32857	573.32857.con.0001	fig|573.32857.peg.95	PATRIC.573.32857.573.32857.con.0001.CDS.56657.57262.rev	PATRIC	CDS	56657	57262	606	-	PLF_570_00006173	PGF_08225224	201	Protein of unknown function DUF208	
pVA04-58	573.32857	573.32857.con.0001	fig|573.32857.peg.8	PATRIC.573.32857.573.32857.con.0001.CDS.5950.6366.rev	PATRIC	CDS	5950	6366	417	-	PLF_570_00030412	PGF_02333019	138	VapC toxin protein	
pVA04-58	573.32857	573.32857.con.0001	fig|573.32857.peg.9	PATRIC.573.32857.573.32857.con.0001.CDS.6363.6593.rev	PATRIC	CDS	6363	6593	231	-	PLF_570_00004713	PGF_04243824	76	VapB protein (antitoxin to VapC)	
pVA04-58	573.32857	573.32857.con.0001	fig|573.32857.peg.10	PATRIC.573.32857.573.32857.con.0001.CDS.6734.6850.fwd	PATRIC	CDS	6734	6850	117	+			38	hypothetical protein	
pVA04-58	573.32857	573.32857.con.0001	fig|573.32857.peg.11	PATRIC.573.32857.573.32857.con.0001.CDS.7167.7517.fwd	PATRIC	CDS	7167	7517	351	+	PLF_570_00005617	PGF_00129636	116	hypothetical protein	
pVA04-58	573.32857	573.32857.con.0001	fig|573.32857.peg.12	PATRIC.573.32857.573.32857.con.0001.CDS.7568.8311.fwd	PATRIC	CDS	7568	8311	744	+		PGF_08225224	247	putative protein	
pVA04-58	573.32857	573.32857.con.0001	fig|573.32857.peg.13	PATRIC.573.32857.573.32857.con.0001.CDS.8308.9084.fwd	PATRIC	CDS	8308	9084	777	+	PLF_570_00000132	PGF_00047661	258	Resolvase	
pVA04-58	573.32857	573.32857.con.0001	fig|573.32857.peg.14	PATRIC.573.32857.573.32857.con.0001.CDS.9142.9399.rev	PATRIC	CDS	9142	9399	258	-	PLF_570_00005414	PGF_00285225	85	hypothetical protein	
pVA04-58	573.32857	573.32857.con.0001	fig|573.32857.peg.15	PATRIC.573.32857.573.32857.con.0001.CDS.9632.9904.rev	PATRIC	CDS	9632	9904	273	-	PLF_570_00127889	PGF_11474744	90	hypothetical protein	
pVA04-58	573.32857	573.32857.con.0001	fig|573.32857.peg.16	PATRIC.573.32857.573.32857.con.0001.CDS.9908.10111.rev	PATRIC	CDS	9908	10111	204	-	PLF_570_00053525	PGF_06435265	67	hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.16	PATRIC.573.32858.573.32858.con.0001.CDS.11138.11866.fwd	PATRIC	CDS	11138	11866	729	+	PLF_570_00005475	PGF_03073672	242	"Inner membrane protein forms channel for type IV secretion of T-DNA complex, VirB8"	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.4	PATRIC.573.32858.573.32858.con.0001.CDS.1158.1496.fwd	PATRIC	CDS	1158	1496	339	+	PLF_570_00005771	PGF_00832702	112	hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.17	PATRIC.573.32858.573.32858.con.0001.CDS.11878.12801.fwd	PATRIC	CDS	11878	12801	924	+		PGF_08225224	307	Forms the bulk of type IV secretion complex that spans outer membrane and periplasm (VirB9)	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.18	PATRIC.573.32858.573.32858.con.0001.CDS.12798.14012.fwd	PATRIC	CDS	12798	14012	1215	+	PLF_570_00005465	PGF_00014238	404	"Inner membrane protein of type IV secretion of T-DNA complex, TonB-like, VirB10"	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.19	PATRIC.573.32858.573.32858.con.0001.CDS.14014.14211.fwd	PATRIC	CDS	14014	14211	198	+	PLF_570_00005486	PGF_10402753	65	hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.20	PATRIC.573.32858.573.32858.con.0001.CDS.14208.15242.fwd	PATRIC	CDS	14208	15242	1035	+	PLF_570_00030350	PGF_06705203	344	"ATPase required for both assembly of type IV secretion complex and secretion of T-DNA complex, VirB11"	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.21	PATRIC.573.32858.573.32858.con.0001.CDS.15245.17080.fwd	PATRIC	CDS	15245	17080	1836	+	PLF_570_00005445	PGF_01981043	611	"Coupling protein VirD4, ATPase required for T-DNA transfer"	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.5	PATRIC.573.32858.573.32858.con.0001.CDS.1571.1735.fwd	PATRIC	CDS	1571	1735	165	+	PLF_570_00005489	PGF_01627010	54	hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.22	PATRIC.573.32858.573.32858.con.0001.CDS.17077.17469.fwd	PATRIC	CDS	17077	17469	393	+		PGF_07164667	130	hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.6	PATRIC.573.32858.573.32858.con.0001.CDS.1732.1989.fwd	PATRIC	CDS	1732	1989	258	+		PGF_08225224	85	FIG01048616: hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.23	PATRIC.573.32858.573.32858.con.0001.CDS.17557.17871.fwd	PATRIC	CDS	17557	17871	315	+	PLF_570_00079881	PGF_00013969	104	IncN plasmid KikA protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.24	PATRIC.573.32858.573.32858.con.0001.CDS.17894.18283.fwd	PATRIC	CDS	17894	18283	390	+	PLF_570_00005505	PGF_03350483	129	hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.25	PATRIC.573.32858.573.32858.con.0001.CDS.18280.18774.fwd	PATRIC	CDS	18280	18774	495	+	PLF_570_00006712	PGF_08225224	164	putative nuclease	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.26	PATRIC.573.32858.573.32858.con.0001.CDS.18857.20119.fwd	PATRIC	CDS	18857	20119	1263	+	PLF_570_00005448	PGF_01952613	420	Cell division protein FtsH (EC 3.4.24.-)	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.27	PATRIC.573.32858.573.32858.con.0001.CDS.20123.22450.fwd	PATRIC	CDS	20123	22450	2328	+	PLF_570_00005454	PGF_10013075	775	DNA topoisomerase III (EC 5.99.1.2)	GO:0003917|DNA topoisomerase type I activity
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.28	PATRIC.573.32858.573.32858.con.0001.CDS.22462.22917.fwd	PATRIC	CDS	22462	22917	456	+		PGF_08225224	151	hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.7	PATRIC.573.32858.573.32858.con.0001.CDS.2261.2875.fwd	PATRIC	CDS	2261	2875	615	+	PLF_570_00005479	PGF_04304454	204	DNA distortion protein 1	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.29	PATRIC.573.32858.573.32858.con.0001.CDS.22955.23605.rev	PATRIC	CDS	22955	23605	651	-	PLF_570_00033751	PGF_01641018	216	hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.30	PATRIC.573.32858.573.32858.con.0001.CDS.23705.23881.fwd	PATRIC	CDS	23705	23881	177	+	PLF_570_00070645	PGF_08225224	58	hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.31	PATRIC.573.32858.573.32858.con.0001.CDS.23878.24057.fwd	PATRIC	CDS	23878	24057	180	+	PLF_570_00038703	PGF_08225224	59	hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.32	PATRIC.573.32858.573.32858.con.0001.CDS.24054.24875.fwd	PATRIC	CDS	24054	24875	822	+	PLF_570_00005470	PGF_00161801	273	zinc metalloproteinase Mpr protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.33	PATRIC.573.32858.573.32858.con.0001.CDS.24985.25239.fwd	PATRIC	CDS	24985	25239	255	+	PLF_570_00005461	PGF_00397880	84	hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.34	PATRIC.573.32858.573.32858.con.0001.CDS.25257.25532.fwd	PATRIC	CDS	25257	25532	276	+	PLF_570_00088672	PGF_10676591	91	hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.35	PATRIC.573.32858.573.32858.con.0001.CDS.25529.25807.fwd	PATRIC	CDS	25529	25807	279	+	PLF_570_00005450	PGF_03300714	92	hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.36	PATRIC.573.32858.573.32858.con.0001.CDS.25804.25950.fwd	PATRIC	CDS	25804	25950	147	+		PGF_00148442	48	hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.37	PATRIC.573.32858.573.32858.con.0001.CDS.26582.26707.fwd	PATRIC	CDS	26582	26707	126	+	PLF_570_00005463	PGF_01629067	41	hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.38	PATRIC.573.32858.573.32858.con.0001.CDS.26926.27459.rev	PATRIC	CDS	26926	27459	534	-		PGF_01000105	177	Mobile element protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.39	PATRIC.573.32858.573.32858.con.0001.CDS.27666.27836.rev	PATRIC	CDS	27666	27836	171	-	PLF_570_00034690	PGF_04344872	56	hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.40	PATRIC.573.32858.573.32858.con.0001.CDS.28155.30632.fwd	PATRIC	CDS	28155	30632	2478	+	PLF_570_00005730	PGF_00022261	825	Mobile element protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.8	PATRIC.573.32858.573.32858.con.0001.CDS.2878.4038.fwd	PATRIC	CDS	2878	4038	1161	+	PLF_570_00036645	PGF_05928519	386	IncQ plasmid conjugative transfer DNA nicking endonuclease TraR (pTi VirD2 homolog)	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.1	PATRIC.573.32858.573.32858.con.0001.CDS.3.554.fwd	PATRIC	CDS	3	554	552	+	PLF_570_00005447	PGF_05122357	183	FIG00643553: hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.41	PATRIC.573.32858.573.32858.con.0001.CDS.30852.31853.fwd	PATRIC	CDS	30852	31853	1002	+	PLF_570_00013948	PGF_08225224	333	"Transposase and inactivated derivatives, IS30 family"	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.42	PATRIC.573.32858.573.32858.con.0001.CDS.31962.32942.rev	PATRIC	CDS	31962	32942	981	-	PLF_570_00000001	PGF_00061501	326	Transposase InsH for insertion sequence element IS5	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.43	PATRIC.573.32858.573.32858.con.0001.CDS.33177.33989.fwd	PATRIC	CDS	33177	33989	813	+	PLF_570_00012304	PGF_05361876	270	Subclass B1 beta-lactamase (EC 3.5.2.6) => NDM family	GO:0008800|beta-lactamase activity
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.44	PATRIC.573.32858.573.32858.con.0001.CDS.33993.34358.fwd	PATRIC	CDS	33993	34358	366	+	PLF_570_00012284	PGF_00385537	121	bleomycin resistance protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.45	PATRIC.573.32858.573.32858.con.0001.CDS.34363.35001.fwd	PATRIC	CDS	34363	35001	639	+	PLF_570_00011893	PGF_00033941	212	Phosphoribosylanthranilate isomerase (EC 5.3.1.24)	GO:0004640|phosphoribosylanthranilate isomerase activity
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.46	PATRIC.573.32858.573.32858.con.0001.CDS.35012.36043.rev	PATRIC	CDS	35012	36043	1032	-	PLF_570_00065773	PGF_08652177	343	"Cytochrome c-type biogenesis protein DsbD, protein-disulfide reductase (EC 1.8.1.8)"	GO:0047134|protein-disulfide reductase activity
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.47	PATRIC.573.32858.573.32858.con.0001.CDS.36048.36182.rev	PATRIC	CDS	36048	36182	135	-	PLF_570_00016017	PGF_03205642	44	Periplasmic divalent cation tolerance protein CutA	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.48	PATRIC.573.32858.573.32858.con.0001.CDS.36241.36945.fwd	PATRIC	CDS	36241	36945	705	+	PLF_570_00000004	PGF_01000105	234	Mobile element protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.49	PATRIC.573.32858.573.32858.con.0001.CDS.36979.37335.rev	PATRIC	CDS	36979	37335	357	-		PGF_08225224	118	hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.50	PATRIC.573.32858.573.32858.con.0001.CDS.37338.37577.rev	PATRIC	CDS	37338	37577	240	-	PLF_570_00040469	PGF_01565322	79	hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.51	PATRIC.573.32858.573.32858.con.0001.CDS.37679.38899.fwd	PATRIC	CDS	37679	38899	1221	+	PLF_570_00006039	PGF_09978608	406	Transposase	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.52	PATRIC.573.32858.573.32858.con.0001.CDS.38988.39650.rev	PATRIC	CDS	38988	39650	663	-	PLF_570_00005429	PGF_10320809	220	Resolvase	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.53	PATRIC.573.32858.573.32858.con.0001.CDS.39778.39984.rev	PATRIC	CDS	39778	39984	207	-	PLF_570_00039316	PGF_05476196	68	hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.54	PATRIC.573.32858.573.32858.con.0001.CDS.40031.40693.fwd	PATRIC	CDS	40031	40693	663	+	PLF_570_00005494	PGF_05454690	220	hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.55	PATRIC.573.32858.573.32858.con.0001.CDS.40766.41077.fwd	PATRIC	CDS	40766	41077	312	+	PLF_570_00005457	PGF_03927955	103	unknown	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.56	PATRIC.573.32858.573.32858.con.0001.CDS.41283.41594.fwd	PATRIC	CDS	41283	41594	312	+	PLF_570_00006244	PGF_00310956	103	hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.57	PATRIC.573.32858.573.32858.con.0001.CDS.41630.41914.fwd	PATRIC	CDS	41630	41914	285	+	PLF_570_00005471	PGF_00294624	94	hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.58	PATRIC.573.32858.573.32858.con.0001.CDS.41935.42357.rev	PATRIC	CDS	41935	42357	423	-	PLF_570_00005449	PGF_08225224	140	DNA distortion protein 3	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.59	PATRIC.573.32858.573.32858.con.0001.CDS.42373.42492.rev	PATRIC	CDS	42373	42492	120	-			39	hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.60	PATRIC.573.32858.573.32858.con.0001.CDS.42476.42919.rev	PATRIC	CDS	42476	42919	444	-		PGF_00128754	147	hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.61	PATRIC.573.32858.573.32858.con.0001.CDS.42928.43800.rev	PATRIC	CDS	42928	43800	873	-	PLF_570_00005467	PGF_00202797	290	hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.62	PATRIC.573.32858.573.32858.con.0001.CDS.44839.44961.rev	PATRIC	CDS	44839	44961	123	-	PLF_570_00019714		40	hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.63	PATRIC.573.32858.573.32858.con.0001.CDS.45294.45809.fwd	PATRIC	CDS	45294	45809	516	+	PLF_570_00005349	PGF_10301134	171	Chaperone protein DnaJ	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.64	PATRIC.573.32858.573.32858.con.0001.CDS.45868.46104.fwd	PATRIC	CDS	45868	46104	237	+	PLF_570_00005452	PGF_00373389	78	hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.9	PATRIC.573.32858.573.32858.con.0001.CDS.4851.5087.fwd	PATRIC	CDS	4851	5087	237	+	PLF_570_00005715	PGF_08225224	78	hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.10	PATRIC.573.32858.573.32858.con.0001.CDS.5133.5777.fwd	PATRIC	CDS	5133	5777	645	+	PLF_570_00005820	PGF_03918026	214	"Peptidoglycan hydrolase VirB1, involved in T-DNA transfer"	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.2	PATRIC.573.32858.573.32858.con.0001.CDS.563.832.fwd	PATRIC	CDS	563	832	270	+	PLF_570_00005459	PGF_05357438	89	hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.11	PATRIC.573.32858.573.32858.con.0001.CDS.5761.6051.fwd	PATRIC	CDS	5761	6051	291	+	PLF_570_00005451	PGF_00169550	96	Pilx2 protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.12	PATRIC.573.32858.573.32858.con.0001.CDS.6199.8829.fwd	PATRIC	CDS	6199	8829	2631	+	PLF_570_00005455	PGF_00790695	876	"Inner membrane protein forms channel for type IV secretion of T-DNA complex, VirB3 / ATPase required for both assembly of type IV secretion complex and secretion of T-DNA complex, VirB4"	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.3	PATRIC.573.32858.573.32858.con.0001.CDS.822.1064.fwd	PATRIC	CDS	822	1064	243	+	PLF_570_00005453	PGF_08035382	80	FIG01048886: hypothetical protein	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.13	PATRIC.573.32858.573.32858.con.0001.CDS.8839.9609.fwd	PATRIC	CDS	8839	9609	771	+		PGF_08225224	256	Minor pilin of type IV secretion complex (VirB5)	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.14	PATRIC.573.32858.573.32858.con.0001.CDS.9619.9876.fwd	PATRIC	CDS	9619	9876	258	+		PGF_08225224	85	IncQ plasmid conjugative transfer protein TraG	
pVA04-46	573.32858	573.32858.con.0001	fig|573.32858.peg.15	PATRIC.573.32858.573.32858.con.0001.CDS.9888.10943.fwd	PATRIC	CDS	9888	10943	1056	+	PLF_570_00005487	PGF_08225224	351	hypothetical protein	
pVA04-6	573.32859	573.32859.con.0001	fig|573.32859.peg.1	PATRIC.573.32859.573.32859.con.0001.CDS.1.777.rev	PATRIC	CDS	1	777	777	-		PGF_10720330	259	hypothetical protein	
pVA04-6	573.32859	573.32859.con.0001	fig|573.32859.peg.2	PATRIC.573.32859.573.32859.con.0001.CDS.1171.1596.rev	PATRIC	CDS	1171	1596	426	-		PGF_00425002	141	Excl1 protein	
pVA04-6	573.32859	573.32859.con.0001	fig|573.32859.peg.3	PATRIC.573.32859.573.32859.con.0001.CDS.1604.2572.rev	PATRIC	CDS	1604	2572	969	-		PGF_00047602	322	Replication protein	
pVA04-6	573.32859	573.32859.con.0001	fig|573.32859.peg.4	PATRIC.573.32859.573.32859.con.0001.CDS.3156.3611.rev	PATRIC	CDS	3156	3611	456	-	PLF_570_00019827	PGF_08225224	151	hypothetical protein	
pVA04-6	573.32859	573.32859.con.0001	fig|573.32859.peg.5	PATRIC.573.32859.573.32859.con.0001.CDS.3777.4892.fwd	PATRIC	CDS	3777	4892	1116	+	PLF_570_00019828	PGF_00022362	371	Mobilization protein	
pVA04-6	573.32859	573.32859.con.0001	fig|573.32859.peg.6	PATRIC.573.32859.573.32859.con.0001.CDS.4905.5489.fwd	PATRIC	CDS	4905	5489	585	+		PGF_00141144	194	hypothetical protein	
pVA04-6	573.32859	573.32859.con.0001	fig|573.32859.peg.7	PATRIC.573.32859.573.32859.con.0001.CDS.5505.5684.fwd	PATRIC	CDS	5505	5684	180	+			59	hypothetical protein	
pVA04-6	573.32859	573.32859.con.0001	fig|573.32859.peg.8	PATRIC.573.32859.573.32859.con.0001.CDS.5786.6265.fwd	PATRIC	CDS	5786	6265	480	+	PLF_570_00007765	PGF_03325896	160	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	
pVA126-339	573.32862	573.32862.con.0001	fig|573.32862.peg.1	PATRIC.573.32862.573.32862.con.0001.CDS.1.702.fwd	PATRIC	CDS	1	702	702	+	PLF_570_00001365	PGF_04275878	233	DnaA inactivator Hda (shorter homolog of DnaA)	
pVA126-339	573.32862	573.32862.con.0001	fig|573.32862.peg.105	PATRIC.573.32862.573.32862.con.0001.CDS.100472.101386.fwd	PATRIC	CDS	100472	101386	915	+	PLF_570_00007739	PGF_08048965	304	"Hypothetical protein, PV83 orf 20 homolog [SA bacteriophages 11, Mu50B]"	
pVA126-339	573.32862	573.32862.con.0001	fig|573.32862.peg.106	PATRIC.573.32862.573.32862.con.0001.CDS.101383.102192.fwd	PATRIC	CDS	101383	102192	810	+	PLF_570_00005985	PGF_08632486	269	Putative DNA methylase	
pVA126-339	573.32862	573.32862.con.0001	fig|573.32862.peg.107	PATRIC.573.32862.573.32862.con.0001.CDS.102202.102579.fwd	PATRIC	CDS	102202	102579	378	+	PLF_570_00005926	PGF_00012266	125	Holliday junction resolvase / Crossover junction endodeoxyribonuclease rusA (EC 3.1.22.-)	
pVA126-339	573.32862	573.32862.con.0001	fig|573.32862.peg.108	PATRIC.573.32862.573.32862.con.0001.CDS.102592.103572.fwd	PATRIC	CDS	102592	103572	981	+	PLF_570_00025131	PGF_01958396	326	hypothetical protein	
pVA126-339	573.32862	573.32862.con.0001	fig|573.32862.peg.109	PATRIC.573.32862.573.32862.con.0001.CDS.103586.104164.fwd	PATRIC	CDS	103586	104164	579	+	PLF_570_00006159	PGF_08274576	192	Phage antitermination protein Q	
pVA126-339	573.32862	573.32862.con.0001	fig|573.32862.peg.110	PATRIC.573.32862.573.32862.con.0001.CDS.104322.104717.fwd	PATRIC	CDS	104322	104717	396	+	PLF_570_00053389	PGF_04816920	131	putative membrane protein	
pVA126-339	573.32862	573.32862.con.0001	fig|573.32862.peg.111	PATRIC.573.32862.573.32862.con.0001.CDS.104806.104985.fwd	PATRIC	CDS	104806	104985	180	+	PLF_570_00131187	PGF_12739351	59	putative membrane protein	
pVA126-339	573.32862	573.32862.con.0001	fig|573.32862.peg.112	PATRIC.573.32862.573.32862.con.0001.CDS.104985.105614.fwd	PATRIC	CDS	104985	105614	630	+		PGF_12934270	209	Lytic enzyme	
pVA126-339	573.32862	573.32862.con.0001	fig|573.32862.peg.113	PATRIC.573.32862.573.32862.con.0001.CDS.105921.106196.fwd	PATRIC	CDS	105921	106196	276	+	PLF_570_00116558	PGF_08225224	91	hypothetical protein	
pVA126-339	573.32862	573.32862.con.0001	fig|573.32862.peg.114	PATRIC.573.32862.573.32862.con.0001.CDS.106213.106335.fwd	PATRIC	CDS	106213	106335	123	+	PLF_570_00032490	PGF_10436067	40	hypothetical protein	
pVA126-339	573.32862	573.32862.con.0001	fig|573.32862.peg.115	PATRIC.573.32862.573.32862.con.0001.CDS.106505.106621.fwd	PATRIC	CDS	106505	106621	117	+		PGF_04657751	38	hypothetical protein	
pVA126-339	573.32862	573.32862.con.0001	fig|573.32862.peg.116	PATRIC.573.32862.573.32862.con.0001.CDS.106726.106971.fwd	PATRIC	CDS	106726	106971	246	+	PLF_570_00128882	PGF_12770141	81	hypothetical protein	
pVA126-339	573.32862	573.32862.con.0001	fig|573.32862.peg.117	PATRIC.573.32862.573.32862.con.0001.CDS.107049.107345.fwd	PATRIC	CDS	107049	107345	297	+	PLF_570_00047490	PGF_05768221	98	hypothetical protein	
pVA126-339	573.32862	573.32862.con.0001	fig|573.32862.peg.118	PATRIC.573.32862.573.32862.con.0001.CDS.107402.107635.fwd	PATRIC	CDS	107402	107635	234	+	PLF_570_00040118	PGF_05458728	77	hypothetical protein	
pVA126-339	573.32862	573.32862.con.0001	fig|573.32862.peg.119	PATRIC.573.32862.573.32862.con.0001.CDS.107686.107940.rev	PATRIC	CDS	107686	107940	255	-	PLF_570_00060299	PGF_04165337	84	hypothetical protein	
pVA126-339	573.32862	573.32862.con.0001	fig|573.32862.peg.120	PATRIC.573.32862.573.32862.con.0001.CDS.108105.108599.fwd	PATRIC	CDS	108105	108599	495	+	PLF_570_00010429	PGF_00037261	164	"Phage terminase, small subunit"	
pVA126-339	573.32862	573.32862.con.0001	fig|573.32862.peg.121	PATRIC.573.32862.573.32862.con.0001.CDS.108596.110326.fwd	PATRIC	CDS	108596	110326	1731	+	PLF_570_00010427	PGF_08341047	576	"Phage head, terminase DNA packaging protein A"	
pVA126-339	573.32862	573.32862.con.0001	fig|573.32862.peg.122	PATRIC.573.32862.573.32862.con.0001.CDS.110336.110521.fwd	PATRIC	CDS	110336	110521	186	+	PLF_570_00010660	PGF_01948664	61	Phage protein	
